Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2008,235547,Bastyr University,1,Main Campus,988,0,0,0
2008,234711,Big Bend Community College,1,Main Campus,1882,0,0,0
2008,234827,Central Washington University,1,Central Washington University,10662,0,83,288
2008,234845,Centralia College,1,Centralia College,3816,0,0,0
2008,235097,Eastern Washington University,1,EWU Main Campus,10809,0,29,150
2008,235103,Edmonds College,1,Main Campus,8989,0,0,0
2008,235316,Gonzaga University,1,Main Campus,7272,2,7,370
2008,235343,Green River College,1,Main Campus,7337,0,15,6
2008,380377,Northwest Indian College,1,Lummi Campus,554,0,0,1
2008,236133,Northwest University,1,Northwest University,1246,0,0,0
2008,236230,Pacific Lutheran University,1,Main Campus,3652,0,22,109
2008,236452,Saint Martin's University,1,Saint Martin's University Lacey Campus,1659,0,14,47
2008,236577,Seattle Pacific University,1,Main Campus,3891,0,5,57
2008,236595,Seattle University,1,Main Campus,7560,6,24,86
2008,236638,Skagit Valley College,1,Mount Vernon Campus,5797,0,0,35
2008,235167,The Evergreen State College,1,Main Campus,4696,0,59,29
2008,236328,University of Puget Sound,1,Main Campus,2844,1,29,125
2008,236948,University of Washington-Seattle Campus,1,Main Campus,39675,0,56,246
2008,377564,University of Washington-Tacoma Campus,1,Tacoma Campus,2967,0,0,0
2008,236896,Walla Walla University,1,Main Campus,1800,0,0,3
2008,236939,Washington State University,1,Pullman Campus,25352,3,29,466
2008,237011,Western Washington University,1,Bellingham Campus,14620,2,212,329
2008,237057,Whitman College,1,Whitman College,1458,0,4,12
2008,237066,Whitworth University,1,Main Campus,2704,0,0,26
2008,237109,Yakima Valley College,1,Main Campus,4388,0,0,0
2009,235547,Bastyr University,1,Main Campus,917,0,0,0
2009,234711,Big Bend Community College,1,Main Campus,2169,0,0,0
2009,234827,Central Washington University,1,Central Washington University,11357,0,105,472
2009,234845,Centralia College,1,Centralia College,3574,0,0,0
2009,235024,Cornish College of the Arts,1,Cornish College of the Arts,794,0,10,12
